Task,Area,Project,Status,Priority,Notes
Add weighted particle visualization before resampling,Probabilistic Robotics,04 Particle Filter Localization,To Do,High,Shows particle weights clearly before resampling
Add before/after resampling comparison,Probabilistic Robotics,04 Particle Filter Localization,To Do,High,Shows weight to particle density transformation
Write README for particle filter localization,Probabilistic Robotics,04 Particle Filter Localization,To Do,High,Explain MCL clearly
Explain particle weights in README,Probabilistic Robotics,04 Particle Filter Localization,To Do,High,Weight means how believable a particle is
Explain normalization in README,Probabilistic Robotics,04 Particle Filter Localization,To Do,High,Normalization turns raw scores into probabilities
Explain resampling in README,Probabilistic Robotics,04 Particle Filter Localization,To Do,High,High-weight particles reproduce
Create Robot Vision Lab repo,Robot Vision,Repository Setup,To Do,High,Start computer vision roadmap
Create Deep Learning Lab repo,Deep Learning,Repository Setup,To Do,Medium,Start deep learning roadmap later
Particle Filter Localization,Probabilistic Robotics,04 Particle Filter Localization,Doing,High,Current Monte Carlo Localization project
Grid Bayes Localization,Probabilistic Robotics,01 Grid Bayes Localization,Done,High,First completed Bayes filter project
Kalman Filter Tracking,Probabilistic Robotics,02 Kalman Filter Tracking,To Do,Medium,Linear Gaussian filtering
EKF Landmark Localization,Probabilistic Robotics,03 EKF Landmark Localization,To Do,Medium,Nonlinear localization with landmarks
Occupancy Grid Mapping,Probabilistic Robotics,05 Occupancy Grid Mapping,To Do,High,Mapping with log-odds
ROS 2 Gazebo SLAM,Probabilistic Robotics,06 ROS 2 Gazebo SLAM,To Do,High,Practical SLAM with ROS 2
CARLA Sensor Fusion,Probabilistic Robotics,07 CARLA Sensor Fusion,To Do,Medium,Autonomous driving-style localization
Image Processing Basics,Robot Vision,01 Image Processing Basics,To Do,High,Pixels filters edges thresholding
Camera Geometry,Robot Vision,02 Camera Geometry,To Do,High,3D to 2D projection
Camera Calibration,Robot Vision,03 Camera Calibration,To Do,High,Intrinsics distortion reprojection error
Classical Object Detection,Robot Vision,04 Classical Object Detection,To Do,High,Color thresholding and contours
Object Tracking,Robot Vision,05 Object Tracking,To Do,Medium,Tracking objects over video
CNN Image Classification,Robot Vision,06 CNN Image Classification,To Do,High,Bridge to deep learning vision
YOLO Object Detection,Robot Vision,07 YOLO Object Detection,To Do,Medium,Bounding-box detection
Image Segmentation,Robot Vision,08 Image Segmentation,To Do,Medium,Pixel-level object masks
RGB-D Object Localization,Robot Vision,09 RGB-D Object Localization,To Do,High,Estimate 3D position from pixel and depth
Camera-to-Robot Transform,Robot Vision,10 Camera-to-Robot Transform,To Do,High,Convert camera frame to robot base frame
Vision-Guided Pick-and-Place,Robot Vision,11 Vision-Guided Pick-and-Place,To Do,High,Connect vision to manipulation
Visual Odometry,Robot Vision,12 Visual Odometry,To Do,Medium,Camera motion from images
Perceptron From Scratch,Deep Learning,01 Perceptron From Scratch,To Do,High,Foundation of neural networks
Neural Network From Scratch,Deep Learning,02 Neural Network From Scratch,To Do,High,Multi-layer learning
Backpropagation From Scratch,Deep Learning,03 Backpropagation From Scratch,To Do,High,Core training algorithm
PyTorch Basics,Deep Learning,04 PyTorch Basics,To Do,High,Practical DL framework
CNN Image Classification,Deep Learning,05 CNN Image Classification,To Do,High,Vision model basics
Transfer Learning,Deep Learning,06 Transfer Learning,To Do,Medium,Use pretrained models
Object Detection Basics,Deep Learning,07 Object Detection Basics,To Do,Medium,Detection model concepts
Segmentation Basics,Deep Learning,08 Segmentation Basics,To Do,Medium,U-Net and mask prediction
Forward Kinematics,Robot Manipulation,01 Forward Kinematics,To Do,High,Joint angles to end-effector position
Inverse Kinematics,Robot Manipulation,02 Inverse Kinematics,To Do,High,Target position to joint angles
Jacobian IK,Robot Manipulation,03 Jacobian IK,To Do,High,Iterative IK
Motion Planning RRT,Robot Manipulation,04 Motion Planning RRT,To Do,Medium,Collision-free planning
MoveIt 2 Planning,Robot Manipulation,05 MoveIt 2 Planning,To Do,High,Practical manipulation planning
Isaac Sim Pick-and-Place,Robot Manipulation,06 Isaac Sim Pick-and-Place,To Do,High,Simulation-based manipulation
Vision-Guided Pick-and-Place,Robot Manipulation,07 Vision-Guided Pick-and-Place,To Do,High,Combine vision and arm control
Trash Sorting Manipulator,Robot Manipulation,08 Trash Sorting Manipulator,To Do,High,Long-term flagship project
Mobile Manipulator Trash Cleanup,Flagship,Integrated Robotics System,To Do,High,Localization vision deep learning and manipulation integration
